dset,model,sparsity,seed,val_acc
aircraft,AC/DC,0.3,seed_21,0.5341
aircraft,AC/DC,0.3,seed_51,0.5353
aircraft,AC/DC,0.3,seed_81,0.5341
aircraft,AC/DC,0.3,seed_111,0.5365
aircraft,AC/DC,0.3,seed_141,0.5365
aircraft,AC/DC,0.4,seed_21,0.5416
aircraft,AC/DC,0.4,seed_51,0.5407
aircraft,AC/DC,0.4,seed_81,0.5416
aircraft,AC/DC,0.4,seed_111,0.5422
aircraft,AC/DC,0.4,seed_141,0.5422
aircraft,AC/DC,0.9,seed_21,0.5231
aircraft,AC/DC,0.9,seed_51,0.5256
aircraft,AC/DC,0.9,seed_81,0.5256
aircraft,AC/DC,0.9,seed_111,0.5294
aircraft,AC/DC,0.9,seed_141,0.5285
aircraft,AC/DC,0.75,seed_21,0.5352
aircraft,AC/DC,0.75,seed_51,0.532
aircraft,AC/DC,0.75,seed_81,0.5353
aircraft,AC/DC,0.75,seed_111,0.5359
aircraft,AC/DC,0.75,seed_141,0.5344
aircraft,AC/DC,0.5,seed_21,0.54
aircraft,AC/DC,0.5,seed_51,0.5418
aircraft,AC/DC,0.5,seed_81,0.5403
aircraft,AC/DC,0.5,seed_111,0.5397
aircraft,AC/DC,0.5,seed_141,0.5424
aircraft,M-FAC,0.75,seed_21,0.5348
aircraft,M-FAC,0.75,seed_51,0.5348
aircraft,M-FAC,0.75,seed_81,0.5321
aircraft,M-FAC,0.75,seed_111,0.5327
aircraft,M-FAC,0.75,seed_141,0.5346
aircraft,M-FAC,0.89,seed_51,0.5369
aircraft,M-FAC,0.89,seed_81,0.538
aircraft,M-FAC,0.89,seed_21,0.5363
aircraft,M-FAC,0.89,seed_111,0.5395
aircraft,M-FAC,0.89,seed_141,0.5364
aircraft,STR,0.75,seed_21,0.4974
aircraft,STR,0.75,seed_51,0.4987
aircraft,STR,0.75,seed_81,0.4959
aircraft,STR,0.75,seed_111,0.4957
aircraft,STR,0.75,seed_141,0.4974
aircraft,STR,0.9,seed_21,0.4716
aircraft,STR,0.9,seed_51,0.4701
aircraft,STR,0.9,seed_81,0.4743
aircraft,STR,0.9,seed_111,0.4723
aircraft,STR,0.9,seed_141,0.4734
aircraft,Dense,0.0,seed_21,0.5412
aircraft,Dense,0.0,seed_51,0.5403
aircraft,Dense,0.0,seed_81,0.5427
aircraft,Dense,0.0,seed_111,0.5434
aircraft,Dense,0.0,seed_141,0.5383
birds,AC/DC,0.3,seed_21,0.5297
birds,AC/DC,0.3,seed_51,0.5294
birds,AC/DC,0.3,seed_81,0.53
birds,AC/DC,0.3,seed_111,0.5287
birds,AC/DC,0.3,seed_141,0.5304
birds,AC/DC,0.4,seed_21,0.5367
birds,AC/DC,0.4,seed_51,0.5359
birds,AC/DC,0.4,seed_81,0.5359
birds,AC/DC,0.4,seed_111,0.5353
birds,AC/DC,0.4,seed_141,0.5356
