dset,model,sparsity,seed,val_acc
aircraft,Dense,0.0,seed_21,0.4923
aircraft,Dense,0.0,seed_51,0.4926
aircraft,Dense,0.0,seed_81,0.4912
aircraft,Dense,0.0,seed_111,0.4903
aircraft,Dense,0.0,seed_141,0.4915
aircraft,AC/DC,0.8,seed_21,0.5514
aircraft,AC/DC,0.8,seed_51,0.5509
aircraft,AC/DC,0.8,seed_81,0.552
aircraft,AC/DC,0.8,seed_111,0.5509
aircraft,AC/DC,0.8,seed_141,0.5506
aircraft,AC/DC,0.9,seed_21,0.555
aircraft,AC/DC,0.9,seed_51,0.5565
aircraft,AC/DC,0.9,seed_81,0.5538
aircraft,AC/DC,0.9,seed_111,0.5547
aircraft,AC/DC,0.9,seed_141,0.5556
aircraft,AC/DC,0.95,seed_21,0.5671
aircraft,AC/DC,0.95,seed_51,0.5656
aircraft,AC/DC,0.95,seed_81,0.5668
aircraft,AC/DC,0.95,seed_111,0.565
aircraft,AC/DC,0.95,seed_141,0.565
aircraft,RigL ERK 1x,0.9,seed_21,0.5389
aircraft,RigL ERK 1x,0.9,seed_51,0.541
aircraft,RigL ERK 1x,0.9,seed_81,0.5428
aircraft,RigL ERK 1x,0.9,seed_111,0.5416
aircraft,RigL ERK 1x,0.9,seed_141,0.5416
aircraft,RigL ERK 5x,0.9,seed_21,0.5653
aircraft,RigL ERK 5x,0.9,seed_51,0.5677
aircraft,RigL ERK 5x,0.9,seed_81,0.565
aircraft,RigL ERK 5x,0.9,seed_111,0.5665
aircraft,RigL ERK 5x,0.9,seed_141,0.565
aircraft,RigL ERK 1x,0.8,seed_21,0.5449
aircraft,RigL ERK 1x,0.8,seed_51,0.5462
aircraft,RigL ERK 1x,0.8,seed_81,0.5467
aircraft,RigL ERK 1x,0.8,seed_111,0.5468
aircraft,RigL ERK 1x,0.8,seed_141,0.5435
aircraft,RigL ERK 5x,0.8,seed_21,0.5511
aircraft,RigL ERK 5x,0.8,seed_51,0.551
aircraft,RigL ERK 5x,0.8,seed_81,0.5514
aircraft,RigL ERK 5x,0.8,seed_111,0.5519
aircraft,RigL ERK 5x,0.8,seed_141,0.555
aircraft,RigL ERK 1x,0.95,seed_21,0.5362
aircraft,RigL ERK 1x,0.95,seed_51,0.5347
aircraft,RigL ERK 1x,0.95,seed_81,0.5347
aircraft,RigL ERK 1x,0.95,seed_111,0.5333
aircraft,RigL ERK 1x,0.95,seed_141,0.5356
aircraft,RigL ERK 5x,0.95,seed_21,0.5685
aircraft,RigL ERK 5x,0.95,seed_51,0.5685
aircraft,RigL ERK 5x,0.95,seed_81,0.5682
aircraft,RigL ERK 5x,0.95,seed_111,0.5712
aircraft,RigL ERK 5x,0.95,seed_141,0.5707
aircraft,LTH-T,0.8,seed_21,0.3698
aircraft,LTH-T,0.8,seed_51,0.3707
aircraft,LTH-T,0.8,seed_81,0.368
aircraft,LTH-T,0.8,seed_111,0.368
aircraft,LTH-T,0.8,seed_141,0.3698
aircraft,LTH-T,0.9,seed_21,0.1662
aircraft,LTH-T,0.9,seed_51,0.1683
aircraft,LTH-T,0.9,seed_81,0.1626
aircraft,LTH-T,0.9,seed_111,0.1663
aircraft,LTH-T,0.9,seed_141,0.1632
aircraft,LTH-T,0.95,seed_21,0.0481
aircraft,LTH-T,0.95,seed_51,0.0429
aircraft,LTH-T,0.95,seed_81,0.0441
aircraft,LTH-T,0.95,seed_111,0.0437
aircraft,LTH-T,0.95,seed_141,0.0485
aircraft,STR,0.8,seed_21,0.5375
aircraft,STR,0.8,seed_51,0.5366
aircraft,STR,0.8,seed_81,0.537
aircraft,STR,0.8,seed_141,0.5369
aircraft,STR,0.8,seed_111,0.5372
aircraft,STR,0.9,seed_21,0.5297
aircraft,STR,0.9,seed_51,0.5292
aircraft,STR,0.9,seed_81,0.5289
aircraft,STR,0.9,seed_141,0.5282
aircraft,STR,0.9,seed_111,0.5288
aircraft,STR,0.95,seed_21,0.5047
aircraft,STR,0.95,seed_51,0.5028
aircraft,STR,0.95,seed_81,0.504
aircraft,STR,0.95,seed_141,0.5028
aircraft,STR,0.95,seed_111,0.5025
aircraft,STR,0.98,seed_21,0.4789
aircraft,STR,0.98,seed_51,0.4797
aircraft,STR,0.98,seed_81,0.4818
aircraft,STR,0.98,seed_141,0.4809
aircraft,STR,0.98,seed_111,0.4795
aircraft,WoodFisher,0.8,seed_21,0.4007
aircraft,WoodFisher,0.8,seed_51,0.4009
aircraft,WoodFisher,0.8,seed_81,0.3977
aircraft,WoodFisher,0.8,seed_141,0.4006
aircraft,WoodFisher,0.8,seed_111,0.4022
aircraft,WoodFisher,0.9,seed_21,0.4412
aircraft,WoodFisher,0.9,seed_51,0.4378
aircraft,WoodFisher,0.9,seed_81,0.4396
aircraft,WoodFisher,0.9,seed_141,0.4429
aircraft,WoodFisher,0.9,seed_111,0.4387
aircraft,WoodFisher,0.95,seed_21,0.4533
aircraft,WoodFisher,0.95,seed_51,0.46
aircraft,WoodFisher,0.95,seed_81,0.4546
aircraft,WoodFisher,0.95,seed_141,0.4544
aircraft,WoodFisher,0.95,seed_111,0.4555
